Time;Value
1670502660658;4
1670502660781;11
1670502660892;8
1670502661004;7
1670502661112;7
1670502661227;11
1670502661338;9
1670502661455;10
1670502661565;7
1670502661674;5
1670502661796;10
1670502661913;14
1670502662693;-1
1670502662803;5
1670502662919;7
1670502663053;14
1670502663159;4
1670502663266;4
1670502663372;4
1670502663485;8
1670502663596;4
1670502663717;7
1670502663853;7
1670502664693;-1
1670503358196;-1
1670503358808;-1
1670503359411;-1
1670503359984;-1
1670503360562;-1
1670503361137;-1
1670503361721;-1
1670503362451;-1
1670503363046;-1
1670503401389;-1
1670503401567;-1
1670503401718;-1
1670503401893;-1
1670503402046;-1
1670503402188;-1
1670503402318;-1
1670503402455;-1
1670503402589;-1
1670503402731;-1
1670503402877;-1
1670503403010;-1
1670503403149;-1
1670503403271;-1
1670503403397;-1
1670503403534;-1
1670503403663;-1
1670503403791;-1
1670503403946;-1
1670503404081;-1
1670503404214;-1
1670503404349;-1
1670503404497;-1
1670503404635;-1
1670503404764;-1
1670503404894;-1
1670503405058;-1
1670503405198;-1
1670503405326;-1
1670503405449;-1
1670503405584;-1
1670503405725;-1
1670503405865;-1
1670503405990;-1
1670503406128;-1
1670503406266;-1
1670503406397;-1
1670503406522;-1
1670503406651;-1
1670503406787;-1
1670503406914;-1
1670503439601;6
1670503439719;14
1670503439842;17
1670503439953;6
1670503440065;7
1670503440195;7
1670503440343;32
1670503440456;9
1670503440567;9
1670503440684;10
1670503440803;15
1670503440912;5
1670503441029;10
1670503441142;7
1670503441252;4
1670503441361;4
1670503441470;3
1670503441581;5
1670503441687;4
1670503441793;4
1670503441907;9
1670503442013;3
1670503442121;4
1670503442227;4
1670503442335;4
1670503442447;6
1670503442555;3
1670503442673;10
1670503442786;6
1670503442904;10
1670503443013;4
1670503443125;8
1670503443234;7
1670503443347;5
1670503443457;6
1670503443572;9
1670503443688;12
1670503443805;12
1670503443923;15
1670503444041;14
1670503444158;14
1670503444265;4
1670503444375;7
1670503444491;10
1670503444616;18
1670503444730;9
1670503444844;8
1670503444968;21
1670503445083;7
1670503445205;14
1670503445315;3
1670503445432;10
1670503445549;9
1670503446904;6
1670503447020;5
1670503447147;15
1670503448194;-1
1670503448300;4
1670503448407;4
1670503448523;4
1670503448654;10
1670503448768;6
1670503448894;16
1670503449006;7
1670503449115;4
1670503449231;5
1670503449356;16
1670503449466;4
1670503449583;5
1670503449708;6
1670503449828;4
1670503449953;11
1670503450075;5
1670503450196;5
1670503450319;15
1670503450433;4
1670503450549;8
1670503450663;4
1670503450783;4
1670503450899;5
1670503451010;4
1670503451126;4
1670503451238;4
1670503451360;13
1670503451474;4
1670503451590;9
1670503451716;16
1670503451831;12
1670503451947;10
1670503452693;-1
1670503452807;5
1670503452926;4
1670503453035;4
1670503453148;4
1670503453269;5
1670503453394;16
1670503453505;7
1670503453614;5
1670503453735;8
1670503453856;10
1670503453976;7
1670503454088;6
1670503454205;7
1670503454319;4
1670503454436;12
1670503454550;3
1670503454663;4
1670503454774;4
1670503454886;7
1670503455006;4
1670503455123;4
1670503455236;4
1670503455355;9
1670503455476;4
1670503455591;4
1670503455703;5
1670503455821;5
1670503455941;8
1670503456065;11
1670503456177;5
1670503456297;4
1670503456419;3
1670503456532;7
1670503456643;4
1670503456767;5
1670503456885;5
1670503457005;6
1670503457127;7
1670503457242;4
1670503457361;5
1670503457480;6
1670503457600;4
1670503457716;5
1670503457831;4
1670503457948;4
1670503458061;8
1670503458176;4
1670503458292;4
1670503458412;5
1670503458524;4
1670503458641;3
1670503458770;6
1670503458883;4
1670503458997;4
1670503459115;7
1670503459234;8
1670503459358;8
1670503459470;5
